rank,team,conf,games,record,adjoe,adjde,barthag,efgp,efgdp,tor,tord,orb,drb,ftr,ftrd,2pp,2ppd,3pp,3ppd,3pr,3prd,adjt,wab
244,Towson,CAA,31,17-14,89.9,98.7,.2564,43.6,43.8,20.6,19.8,31.4,33.5,28.7,28.9,42.0,42.5,31.0,32.1,36.6,22.6,70.5,-11.2
245,Nicholls St.,Slnd,31,15-16,85.4,94.0,.2498,41.6,45.5,21.7,27.0,32.2,34.0,34.7,33.1,43.3,42.3,24.8,34.1,27.3,35.2,68.5,-14.7
246,VCU,A10,31,8-23,84.5,93.1,.2482,41.9,47.7,25.7,23.0,30.2,32.3,22.3,25.4,41.8,49.2,28.1,30.2,34.0,39.2,69.2,-16.0
247,East Tennessee St.,SC,31,18-13,83.2,91.8,.2434,39.3,42.7,20.5,23.1,30.7,30.3,31.5,27.2,38.8,40.6,26.7,31.3,34.5,33.1,64.0,-9.9
248,Pittsburgh,ACC,31,8-23,88.9,98.2,.2432,41.6,48.5,22.3,17.8,28.3,32.7,21.2,19.5,41.1,46.2,28.7,34.8,27.9,38.8,69.8,-13.5
249,IU Indy,Horz,31,14-17,88.2,97.6,.2378,44.0,49.8,22.9,26.1,28.2,35.6,41.5,35.0,45.4,52.3,27.5,29.8,35.3,32.0,70.1,-14.4
250,Georgia St.,SB,31,10-21,91.8,101.7,.2355,42.9,50.3,19.2,26.5,27.7,42.7,34.3,34.3,43.2,51.7,28.2,32.2,38.3,39.1,71.0,-16.4
251,Oakland,Horz,31,10-21,92.7,102.7,.2349,44.8,51.3,23.8,18.3,31.2,29.6,27.7,27.7,44.1,51.1,30.6,34.5,37.5,34.8,68.2,-16.5
252,San Diego,WCC,33,11-22,83.3,92.4,.2334,39.3,45.3,25.5,20.3,34.6,29.8,27.5,27.5,39.2,44.8,26.4,30.8,29.1,34.0,67.6,-17.5
253,Delaware,CUSA,32,13-19,85.7,95.1,.2317,44.7,45.8,25.5,22.5,28.9,31.0,29.3,24.2,44.4,47.0,30.3,28.8,32.4,32.7,69.7,-16.7
254,Fordham,A10,30,10-20,85.1,94.5,.2290,40.5,45.4,25.3,27.0,37.6,37.1,24.0,37.4,39.6,45.0,28.3,30.7,30.6,35.6,68.6,-16.4
255,Northern Arizona,BSky,32,10-22,89.9,100.0,.2283,44.5,49.2,22.5,21.9,26.9,32.2,32.6,26.8,42.1,50.6,33.0,31.4,32.5,40.0,73.2,-18.3
256,Longwood,BSth,31,21-10,86.6,96.3,.2275,44.1,46.0,23.0,29.0,36.5,37.0,28.8,24.2,43.7,47.9,30.0,28.2,32.0,34.3,75.1,-7.7
257,Maryland Eastern Shore,MEAC,33,19-14,81.0,90.1,.2267,40.3,43.8,28.2,28.3,34.6,34.4,38.1,39.1,40.2,41.6,27.2,32.4,22.1,32.0,70.5,-10.7
258,Evansville,MVC,35,10-25,91.3,101.7,.2228,45.1,49.5,21.4,19.9,29.2,31.4,28.6,37.4,43.7,50.4,31.7,31.8,36.5,33.0,70.8,-21.4
259,Tennessee Martin,OVC,30,13-17,86.8,96.9,.2203,44.5,45.7,22.1,21.7,20.8,34.0,32.8,26.3,44.9,44.5,29.2,31.5,31.4,41.8,65.9,-14.4
260,Kennesaw St.,CUSA,30,13-17,81.9,91.6,.2176,45.2,44.7,28.8,25.9,32.1,33.3,31.1,35.7,46.8,43.8,26.6,31.2,22.1,31.6,70.0,-14.3
261,Southern Illinois,MVC,30,10-20,88.0,98.5,.2149,43.7,49.3,20.3,20.8,29.8,30.4,28.4,36.3,43.8,51.7,28.9,29.9,21.0,35.0,69.9,-17.8
262,Texas St.,SB,30,11-19,84.1,94.6,.2046,43.1,46.1,27.6,24.8,32.5,35.1,32.2,34.1,43.5,44.4,27.7,32.8,23.0,35.4,69.7,-15.5
263,Stony Brook,CAA,33,18-15,84.1,94.6,.2043,42.2,44.3,27.6,23.7,37.4,34.8,28.2,21.4,41.5,45.0,29.0,28.6,35.4,32.8,64.2,-12.6
264,Western Michigan,MAC,29,9-20,83.0,93.5,.2042,43.5,47.2,25.8,22.2,25.4,31.0,27.8,27.4,43.5,47.1,29.1,31.7,43.9,30.8,66.5,-15.8
265,UMKC,Sum,30,7-23,90.1,101.5,.2041,43.8,52.5,21.8,23.5,32.6,34.8,25.6,32.5,42.1,51.9,32.4,35.6,25.6,36.1,67.0,-17.9
266,Montana,BSky,31,9-22,89.5,100.8,.2026,46.4,49.9,20.5,18.1,16.4,31.2,19.6,23.6,45.6,49.8,31.5,33.4,51.8,35.0,67.0,-16.8
267,Wichita St.,Amer,31,8-23,86.4,97.3,.2023,42.0,46.5,25.1,22.0,30.8,33.6,29.1,33.3,43.1,46.9,26.4,30.5,29.7,33.5,67.7,-19.6
268,Furman,SC,31,18-13,83.5,94.1,.2020,43.3,46.4,25.7,25.3,34.1,30.5,33.8,34.1,41.3,45.7,32.1,31.8,29.4,33.1,72.2,-9.5
269,Lipscomb,ASun,30,10-20,81.0,91.3,.2017,45.5,43.3,27.1,21.4,24.2,31.5,29.6,21.7,45.9,43.5,30.0,28.7,43.9,37.7,69.0,-17.5
270,Yale,Ivy,27,7-20,85.1,96.3,.1954,42.1,46.4,25.9,20.8,32.8,34.1,23.1,31.6,41.3,47.9,30.3,28.7,20.5,30.4,69.5,-16.0
271,Samford,SC,34,16-18,88.8,100.5,.1953,46.3,46.2,23.3,19.1,22.7,36.6,25.9,26.4,43.9,46.5,32.7,30.4,47.0,35.6,65.8,-13.4
272,UTEP,CUSA,30,13-17,89.5,101.9,.1830,43.0,49.8,23.5,23.6,32.5,31.7,29.8,30.0,42.0,47.7,30.1,36.0,30.4,33.7,70.6,-14.1
273,Cal St. Northridge,BW,30,10-20,82.0,93.4,.1815,44.5,44.2,28.3,24.1,29.2,35.9,27.8,34.5,45.1,44.7,29.0,28.9,41.8,35.6,72.8,-17.3
274,Mercer,SC,30,17-13,86.2,98.7,.1739,42.4,45.4,22.2,25.5,31.0,34.0,32.5,32.5,39.8,43.4,32.3,33.3,29.6,31.0,68.8,-11.6
275,Denver,Sum,30,11-19,83.2,95.3,.1735,43.2,49.9,24.1,23.4,25.1,33.2,26.7,24.0,43.4,49.5,28.6,33.9,38.0,33.9,67.6,-15.3
276,LIU,NEC,32,21-11,88.6,101.5,.1732,48.3,44.1,22.6,21.9,31.1,31.0,32.5,28.3,46.3,43.9,34.6,29.6,35.9,32.7,70.3,-9.9
277,North Florida,ASun,30,9-21,84.1,96.5,.1699,44.4,48.3,26.3,23.3,29.0,35.0,23.7,31.2,45.7,49.7,28.4,30.5,39.7,35.1,71.0,-17.3
278,Hofstra,CAA,33,11-22,81.6,93.8,.1665,41.5,45.8,24.5,22.6,31.6,33.3,20.9,28.6,40.2,45.9,29.7,30.5,30.7,36.0,65.2,-18.3
279,Incarnate Word,Slnd,30,13-17,93.1,107.2,.1653,45.6,48.2,24.3,19.6,33.3,35.2,30.5,27.7,45.7,48.8,30.3,31.2,41.9,28.5,68.6,-13.6
280,Cornell,Ivy,27,9-18,85.4,98.5,.1625,43.8,49.8,25.2,21.3,26.8,33.5,23.3,19.5,41.9,50.7,31.5,32.2,34.0,37.7,62.6,-14.2
281,Wright St.,Horz,32,10-22,88.4,102.0,.1614,44.6,49.6,20.4,21.3,25.5,31.7,24.1,31.5,40.4,50.1,34.3,32.4,37.6,36.7,68.1,-19.1
282,Iona,MAAC,32,20-12,84.5,97.7,.1586,41.3,43.7,20.7,23.6,33.1,32.0,24.1,27.5,41.3,44.5,27.5,27.8,33.4,29.8,66.2,-10.2
283,Indiana St.,MVC,32,10-22,93.0,107.5,.1583,43.2,50.3,20.4,18.3,31.9,32.5,36.7,42.0,44.1,49.3,27.4,34.7,29.2,35.1,76.5,-19.0
284,North Carolina A&T,CAA,30,12-18,84.6,97.9,.1565,43.0,45.8,29.1,23.2,35.8,33.3,38.9,29.2,43.4,43.9,28.0,32.7,31.4,37.0,68.2,-13.8
285,Utah St.,MWC,30,6-24,85.7,99.5,.1528,42.1,47.8,22.5,22.1,22.3,36.3,25.5,25.4,43.9,47.8,26.2,31.9,38.4,35.2,68.7,-19.7
286,UNC Greensboro,SC,30,14-16,82.2,95.7,.1476,41.0,45.6,22.4,24.4,30.3,29.7,23.3,29.3,38.8,42.1,29.6,35.7,39.2,30.0,64.7,-13.5
287,Western Kentucky,CUSA,29,8-21,84.7,98.7,.1464,44.8,48.1,25.1,24.7,23.7,38.9,22.7,22.0,46.0,45.8,28.6,34.3,37.1,40.8,65.7,-17.5
288,Akron,MAC,31,7-24,90.1,106.0,.1348,46.1,51.4,25.2,20.1,26.8,32.0,31.6,37.4,46.2,53.9,30.7,30.5,41.7,31.3,72.0,-19.6
289,Loyola MD,Pat,30,12-18,83.9,98.9,.1309,44.1,47.7,26.6,22.6,33.1,28.0,29.7,33.7,44.1,45.6,29.6,33.6,27.9,43.3,63.4,-15.2
290,Lafayette,Pat,30,11-19,86.1,101.7,.1296,45.0,44.7,21.0,20.7,23.8,37.1,23.4,18.8,41.0,41.4,34.2,33.7,38.7,36.3,66.1,-16.9
291,Manhattan,MAAC,31,11-20,81.7,96.5,.1290,40.6,44.7,26.1,23.2,33.3,32.0,27.3,31.8,41.2,45.8,25.7,28.5,24.1,35.4,69.7,-16.6
292,East Texas A&M,Slnd,30,13-17,84.1,99.5,.1256,43.1,44.9,21.3,21.3,25.5,34.3,26.5,29.6,41.9,45.2,30.2,29.4,34.5,29.2,69.0,-14.3
293,Siena,MAAC,30,13-17,84.3,99.9,.1249,42.2,43.6,25.2,25.1,39.0,33.2,29.3,30.2,44.4,43.4,25.4,29.3,34.1,33.0,73.5,-15.2
294,Northern Illinois,MAC,30,7-23,84.5,100.1,.1249,43.6,49.8,25.6,21.8,25.0,32.9,38.7,32.8,43.2,48.8,29.8,34.3,31.4,36.0,65.6,-20.0
295,Coppin St.,MEAC,33,10-23,78.3,93.3,.1184,37.8,46.3,30.3,26.2,34.7,32.8,34.1,33.5,37.0,44.8,26.3,33.0,32.2,31.5,72.1,-16.8
296,Boston University,Pat,31,11-20,90.2,107.5,.1170,49.0,46.4,24.1,17.6,29.1,33.0,24.4,19.7,48.1,44.5,33.9,32.7,33.4,41.9,62.6,-17.7
297,Cal St. Bakersfield,BW,30,7-23,82.9,98.9,.1166,40.0,47.9,21.9,22.9,28.1,30.0,30.7,40.5,38.6,49.1,28.6,30.3,33.2,32.9,70.5,-20.7
298,Mount St. Mary's,MAAC,30,15-15,80.4,96.4,.1111,42.0,44.0,25.0,25.3,32.2,32.9,27.4,31.8,42.2,42.4,27.8,31.2,33.3,37.5,70.3,-12.5
299,Sacred Heart,MAAC,31,13-18,82.4,98.7,.1107,43.1,45.2,28.0,22.2,33.0,31.0,35.7,28.1,42.4,46.2,30.0,28.9,28.8,35.3,65.6,-15.0
300,New Hampshire,AE,30,10-20,80.4,96.6,.1085,42.6,45.4,23.4,18.0,22.7,27.4,25.9,26.3,43.0,44.2,27.9,31.9,31.5,31.5,66.0,-17.2
301,New Mexico St.,CUSA,30,9-21,79.0,95.0,.1066,43.0,47.0,28.9,23.7,27.7,33.4,23.2,37.5,43.5,47.2,27.7,31.1,24.1,34.4,70.7,-18.2
302,Northeastern,CAA,29,7-22,85.0,102.7,.1018,43.3,48.2,25.4,22.5,33.4,33.7,30.8,29.5,43.3,47.7,28.8,32.7,26.7,36.4,67.8,-20.7
303,Portland St.,BSky,31,6-25,87.7,106.5,.0969,42.6,48.9,24.1,18.4,29.8,34.9,34.2,26.7,43.9,48.8,26.3,32.8,29.0,30.4,69.1,-21.8
304,Milwaukee,Horz,32,8-24,85.2,103.5,.0969,45.1,47.4,23.8,17.7,25.7,28.0,28.9,32.3,42.7,47.7,32.7,31.3,37.9,38.9,67.1,-21.5
305,Detroit Mercy,Horz,31,7-24,84.6,103.0,.0941,42.6,50.6,22.5,22.1,29.3,30.6,32.0,32.2,43.7,51.3,26.7,32.8,29.8,35.0,70.8,-20.8
306,Winthrop,BSth,32,15-17,83.8,102.1,.0938,44.0,50.1,24.3,27.6,30.6,36.7,33.7,30.5,45.4,48.2,26.8,35.4,27.1,38.8,71.0,-13.5
307,Bucknell,Pat,30,11-19,78.8,96.0,.0926,42.4,44.7,23.0,21.6,22.7,32.3,22.4,25.1,43.4,44.8,27.0,29.6,37.3,35.9,63.4,-16.7
308,Grambling St.,SWAC,32,13-19,77.7,95.2,.0878,38.1,44.7,25.3,29.8,36.7,37.3,32.2,40.0,39.6,43.6,22.9,31.8,28.3,27.6,71.8,-16.7
309,Marist,MAAC,31,11-20,81.9,100.5,.0875,42.6,46.1,23.7,21.8,25.2,34.0,26.0,24.8,39.3,45.8,32.3,31.1,36.1,33.0,67.4,-17.1
310,Eastern Illinois,OVC,31,4-27,80.9,99.4,.0858,40.9,48.7,24.4,19.6,25.1,31.8,25.1,30.8,39.4,47.9,29.0,33.6,36.4,30.3,69.0,-22.7
311,San Jose St.,MWC,32,4-28,78.5,96.5,.0856,39.1,46.0,25.5,19.7,23.8,36.9,28.3,24.2,37.5,44.6,27.4,32.0,44.8,41.8,72.0,-22.8
312,Tennessee St.,OVC,29,5-24,80.7,99.3,.0838,41.2,48.7,27.3,21.5,29.1,34.7,32.4,33.8,40.6,46.9,28.5,34.8,28.7,32.9,73.7,-20.5
313,Louisiana,SB,31,5-26,80.5,100.0,.0767,37.8,48.9,25.8,23.7,31.6,39.1,27.2,30.3,38.3,49.7,23.7,31.8,21.3,40.5,69.9,-22.4
314,Houston Christian,Slnd,29,8-21,77.4,96.1,.0765,42.8,46.8,27.5,24.5,28.6,33.8,31.1,30.2,45.3,46.6,26.0,31.4,38.5,35.0,68.2,-18.3
315,Buffalo,MAC,30,3-27,79.8,99.2,.0762,40.8,48.0,28.3,22.7,35.8,33.5,26.6,30.0,42.4,49.5,24.6,30.0,28.4,33.4,72.0,-23.5
316,North Dakota,Sum,31,7-24,80.8,100.5,.0748,43.7,49.3,27.5,16.5,19.3,27.0,31.8,25.4,47.7,46.2,26.2,37.1,47.6,32.5,71.4,-19.7
317,Long Beach St.,BW,30,5-25,82.1,102.3,.0738,41.5,48.4,26.3,18.5,26.6,32.5,26.8,26.6,41.0,49.6,28.2,30.9,36.5,38.3,68.8,-21.3
318,Dartmouth,Ivy,27,10-17,83.7,104.4,.0727,40.8,48.7,25.1,19.0,28.8,38.6,26.6,15.2,40.2,48.9,27.8,32.3,38.9,34.1,64.7,-13.7
319,Queens,ASun,30,10-20,79.6,99.6,.0708,40.7,48.8,24.4,22.8,28.2,31.7,26.1,30.5,38.0,49.5,30.2,31.5,36.8,32.7,69.3,-17.2
320,Cal Poly,BW,30,4-26,81.2,101.6,.0702,41.2,49.8,28.5,18.9,26.8,33.3,30.4,34.9,41.3,51.1,27.4,31.9,28.5,40.1,69.2,-21.2
321,Alabama St.,SWAC,32,17-15,76.6,96.1,.0689,41.7,42.2,31.4,23.6,37.3,33.3,34.0,39.6,42.3,41.0,26.6,29.9,25.6,30.6,72.4,-10.3
322,Seattle,WCC,30,5-25,82.8,103.8,.0689,41.4,50.5,24.6,18.9,23.3,35.4,24.5,25.4,42.0,49.9,26.9,34.5,35.1,31.9,71.7,-21.2
323,Alcorn St.,SWAC,30,17-13,74.8,94.1,.0666,40.8,43.4,26.8,26.4,29.1,36.8,27.9,34.1,40.4,44.9,27.7,27.1,34.7,34.3,66.9,-9.2
324,Mercyhurst,NEC,31,15-16,90.3,113.8,.0656,46.9,54.4,21.7,24.6,26.7,39.1,27.5,28.6,44.3,54.5,33.0,36.1,49.3,29.7,67.7,-12.3
325,American,Pat,30,7-23,80.6,102.5,.0590,42.0,48.2,22.5,18.9,26.3,30.2,23.8,20.5,42.4,49.2,27.6,30.9,40.8,34.0,67.4,-21.2
326,UNC Asheville,BSth,30,12-18,76.7,97.7,.0586,40.6,43.2,30.4,24.4,38.1,33.0,33.5,34.0,40.7,44.3,27.0,27.1,31.9,31.0,69.0,-17.4
327,Colgate,Pat,31,7-24,77.7,99.0,.0585,39.4,46.4,24.5,19.7,30.1,32.1,20.0,26.6,39.1,48.0,26.7,29.0,33.1,34.4,66.2,-21.5
328,Hampton,CAA,31,10-21,81.8,104.6,.0558,40.8,46.6,21.4,23.9,29.9,40.3,23.0,25.6,39.8,47.4,28.4,30.0,36.0,29.9,67.1,-19.8
329,UNC Wilmington,CAA,31,7-24,80.7,103.3,.0549,43.8,46.8,28.0,21.2,29.3,38.3,29.4,26.5,42.4,46.4,31.0,31.7,33.8,32.6,68.7,-22.1
330,North Carolina Central,MEAC,29,9-20,73.7,94.5,.0545,38.9,44.3,28.6,27.8,28.4,34.1,39.2,45.4,36.4,42.4,30.8,32.4,25.8,30.9,76.2,-16.4
331,Southeastern Louisiana,Slnd,29,5-24,84.0,108.2,.0517,40.6,50.5,22.4,21.9,29.1,43.0,25.3,27.4,38.4,54.2,29.8,29.6,35.4,37.8,66.5,-20.1
332,Gardner Webb,BSth,31,12-19,76.7,99.2,.0494,44.0,47.6,26.9,29.6,28.3,41.1,22.4,29.9,41.8,48.2,31.5,31.2,41.6,44.1,65.9,-17.5
333,Wagner,NEC,30,13-17,72.1,93.5,.0479,40.1,43.3,26.5,28.0,30.7,33.9,32.6,38.1,41.3,41.9,24.0,30.5,23.7,35.5,69.6,-14.8
334,Stonehill,NEC,30,12-18,80.7,104.9,.0468,44.1,48.3,26.3,20.7,34.1,30.9,24.1,23.8,44.6,48.3,28.8,32.1,31.3,31.5,66.8,-15.9
335,Nebraska Omaha,Sum,33,6-27,79.4,103.3,.0467,39.1,51.4,28.2,17.5,27.6,35.7,24.3,31.3,36.0,52.4,28.8,33.3,42.7,38.7,67.9,-21.8
336,Rider,MAAC,29,7-22,75.9,98.7,.0462,40.9,43.9,25.6,22.3,30.1,33.0,19.4,30.9,43.3,42.7,25.0,30.7,40.6,34.9,65.9,-20.6
337,Jackson St.,SWAC,31,12-19,76.7,100.3,.0440,39.8,46.5,27.1,22.8,36.2,30.5,28.1,37.3,36.8,47.8,30.5,29.2,33.3,32.1,66.6,-15.4
338,Texas A&M Corpus Chris,Slnd,29,6-23,77.5,101.6,.0429,42.7,44.8,30.6,18.4,32.0,34.2,34.6,33.5,42.3,43.4,29.0,31.6,37.3,36.9,66.8,-20.5
339,Arkansas Pine Bluff,SWAC,31,15-16,82.2,108.2,.0405,42.2,47.0,26.1,24.9,33.9,37.4,34.8,32.1,41.8,49.0,28.7,28.9,28.1,34.3,68.5,-13.9
340,Florida A&M,SWAC,31,9-22,80.7,107.2,.0367,37.9,46.0,25.2,24.3,33.0,39.4,36.6,39.2,39.0,45.1,23.0,32.2,22.8,28.6,69.8,-20.0
341,Delaware St.,MEAC,30,7-23,76.2,101.3,.0366,40.7,46.2,28.5,25.2,26.9,34.5,29.1,41.6,39.6,45.3,29.3,32.4,25.6,28.9,68.1,-20.8
342,USC Upstate,BSth,32,12-20,76.7,102.1,.0362,43.7,45.2,33.5,18.5,36.9,29.4,24.3,27.3,41.2,43.8,32.6,31.5,32.2,41.0,66.1,-17.1
343,Canisius,MAAC,29,5-24,77.2,102.9,.0354,43.6,46.4,34.2,19.7,35.5,35.5,34.1,25.7,44.5,47.8,27.7,28.8,30.3,30.4,67.2,-20.6
344,Chicago St.,NEC,32,9-23,80.8,107.8,.0349,43.0,48.9,24.4,24.2,28.4,38.4,31.9,37.9,43.8,50.4,27.2,30.7,27.4,34.4,72.9,-20.3
345,Charleston Southern,BSth,30,8-22,81.8,109.3,.0343,44.9,47.7,23.5,18.3,22.9,35.4,23.4,26.0,42.1,45.9,32.1,34.0,46.7,34.0,69.0,-18.4
346,Saint Peter's,MAAC,30,7-23,75.8,101.5,.0337,38.8,47.2,24.9,23.8,26.9,37.8,27.2,25.4,37.9,45.8,26.9,32.9,37.6,42.0,64.8,-21.0
347,Morgan St.,MEAC,31,5-26,80.5,108.2,.0322,38.5,49.0,27.2,22.2,25.6,40.2,35.4,33.8,36.2,51.7,29.7,29.0,27.5,32.7,67.6,-22.0
348,UMass Lowell,AE,29,8-21,80.1,107.9,.0314,41.0,49.9,26.4,19.6,30.9,38.1,21.7,24.2,42.7,48.7,26.0,35.1,44.7,31.7,65.1,-19.4
349,New Haven,NEC,29,7-22,77.5,105.2,.0292,42.1,47.0,27.3,22.1,35.9,31.3,24.4,26.7,41.4,45.8,29.2,32.6,31.3,39.3,64.4,-20.9
350,Le Moyne,NEC,33,12-21,78.8,108.1,.0258,43.2,48.1,27.1,18.0,28.9,33.2,26.9,25.0,40.6,48.2,31.6,32.0,38.4,39.1,66.1,-17.7
351,New Orleans,Slnd,30,3-27,78.2,107.3,.0254,38.7,50.5,25.3,22.5,30.7,40.0,29.4,29.8,39.2,49.7,25.0,34.7,30.9,36.4,75.7,-23.6
352,Bethune Cookman,SWAC,33,7-26,76.8,105.8,.0244,38.9,46.1,29.9,24.1,33.4,37.0,34.9,40.4,37.5,46.9,28.6,29.6,25.5,30.7,67.1,-23.1
353,Texas Southern,SWAC,31,10-21,79.2,109.3,.0241,40.5,46.0,26.6,22.0,32.7,37.8,37.2,38.2,42.6,45.9,24.4,30.7,35.1,28.4,73.1,-17.2
354,Western Carolina,SC,29,3-26,75.6,104.8,.0229,39.0,49.3,29.8,22.4,28.9,35.4,33.3,30.5,37.9,47.3,27.3,35.1,34.6,37.1,68.3,-23.4
355,Valparaiso,MVC,32,0-32,73.8,103.3,.0205,37.7,49.6,24.7,16.5,23.1,33.2,25.7,30.3,37.7,48.5,25.0,34.6,39.0,34.3,73.7,-29.1
356,Mississippi Valley St.,SWAC,31,8-23,74.5,107.0,.0154,37.6,45.6,28.0,22.7,33.0,39.3,38.1,39.0,39.2,44.7,22.8,31.9,31.2,29.0,75.2,-19.7
357,Saint Francis,NEC,30,3-27,74.4,108.5,.0128,40.0,48.3,24.9,20.6,29.0,33.3,25.5,30.3,40.4,50.1,26.3,29.9,34.9,35.2,70.5,-26.0
358,Central Connecticut,NEC,29,2-27,73.7,110.2,.0096,37.7,49.9,24.0,21.7,24.3,35.1,27.1,31.3,38.4,50.9,23.5,32.2,23.5,39.3,70.1,-25.0
359,Niagara,MAAC,29,1-28,70.1,105.8,.0087,36.1,52.5,31.1,28.0,30.0,42.9,28.6,35.0,35.1,52.3,25.9,35.3,27.6,31.8,74.1,-24.7
360,South Carolina St.,MEAC,30,5-25,68.1,106.0,.0061,36.7,47.2,28.9,24.7,25.5,40.4,24.2,38.1,35.9,46.3,25.8,32.7,30.6,34.0,70.9,-22.7
361,Presbyterian,BSth,30,3-27,71.6,113.3,.0051,36.4,53.9,30.1,23.9,31.7,37.1,32.8,40.1,37.2,54.1,22.8,35.6,26.1,29.4,68.9,-25.4
362,Prairie View A&M,SWAC,30,2-28,67.8,109.0,.0042,37.2,45.0,26.6,21.7,23.2,44.4,30.6,30.8,36.8,47.0,25.4,26.4,35.8,27.6,73.4,-25.1
363,Bellarmine,ASun,32,2-30,71.4,115.7,.0039,36.1,52.5,28.8,17.1,21.2,39.7,29.9,24.4,34.5,55.2,26.0,32.9,36.6,44.7,69.6,-24.7
